id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
556,48719,61,CO,0,0,0,0,0,0,0,0,31,17,0,0,0
268,30275,229998,MX,8,177,13,54,0,2,0,9,128194,97075,2954,31201,34418
258,42012,99708,MX,2,116,28,0,1,0,0,0,4403,2959,627,0,774
255,38505,1049579,PE,7,171,12,0,0,0,7,0,42403,30712,893,0,1090
226,28622,2057157,MX,0,21,2,0,0,0,0,3,55181,37287,554,0,580
578,48925,45313,PE,6,211,29,2,0,0,0,0,7151,4626,137,0,385
239,34328,85228,MX,1,51,7,0,0,0,0,0,7863,5516,111,0,170
244,28850,91573,PE,8,41,9,0,0,0,6,0,6610,4684,221,0,285
252,26499,3042501,MX,119,145,8,0,0,0,0,7,0,0,0,0,279
307,42634,8591,CO,9,170,18,1,1,0,0,4,10194,5744,329,0,532
280,40939,54474,MX,12,292,53,30,0,0,0,6,12935,8573,541,0,934
312,34950,121893,PE,52,1305,109,5,1,0,0,8,47107,33139,1567,0,3047
283,33973,27909,PE,6,164,42,1,0,0,0,0,6683,4635,411,0,624
285,28849,253105,PE,59,2981,846,12,6,0,0,8,79401,52735,2097,0,6009
292,28208,18245,PE,21,302,73,17,1,0,1,0,27556,17725,621,0,1036
290,42571,732985,CO,18,378,47,1,2,1,0,8,22704,14642,1385,3574,1840
286,28265,85186,PE,8,351,50,0,0,0,0,0,11724,8981,674,0,1083
306,38614,1965664,PE,92,4955,429,3,38,1,1,26,294026,216481,13938,0,19483
284,31197,103847,CO,7,486,65,31,1,0,0,5,41151,34135,1039,9840,11474
303,26621,42695,MX,0,107,4,0,0,0,0,5,16282,12902,193,0,309
269,34056,993921,MX,55,2662,270,21,3,0,0,1,64863,0,0,0,3011
279,43366,0,CO,0,0,0,0,0,0,0,0,0,0,14,0,14
240,30534,1933648,MX,17,159,31,1,0,0,0,0,21383,15002,503,0,711
